                                   Index                                     Info                                   Parent                             Left Sibling 
                                       0                                  program                                       -1                                       -1 
                                       1                                     main                                        0                                       -1 
                                       2                                        (                                        0                                        1 
                                       3                                        )                                        0                                        2 
                                       4                                        {                                        0                                        3 
                                       5                                statement                                        0                                        4 
                                       6                                        }                                        0                                        5 
                                       7                             if_statement                                        5                                       -1 
                                       8                                       if                                        7                                       -1 
                                       9                                        (                                        7                                        8 
                                      10                                condition                                        7                                        9 
                                      11                                        )                                        7                                       10 
                                      12                                        {                                        7                                       11 
                                      13                                statement                                        7                                       12 
                                      14                                        }                                        7                                       13 
                                      15                               expression                                       10                                       -1 
                                      16                                 relation                                       10                                       15 
                                      17                               expression                                       10                                       16 
                                      18                        string_expression                                       15                                       -1 
                                      19                                 constant                                       18                                       -1 
                                      20                                       >=                                       16                                       -1 
                                      21                        string_expression                                       17                                       -1 
                                      22                                 constant                                       21                                       -1 
                                      23                          write_statement                                       13                                       -1 
                                      24                                    write                                       23                                       -1 
                                      25                             write_helper                                       23                                       24 
                                      26                                        ;                                       23                                       25 
                                      27                                       <<                                       25                                       -1 
                                      28                                 constant                                       25                                       27 
